PART_CD,PART_NAME,PART_TYPE,LINKED_PRODUCT_ID,UNIT,UNIT_COST_KRW,STD_DEMAND_MONTHLY
FG-001,클린잇제로 클렌징밤 50ml,완제품,PRD001,EA,22000,800
FG-002,선프로텍터 선크림 SPF50+ 50ml,완제품,PRD002,EA,18000,950
FG-003,인텐시브 수분크림 50ml,완제품,PRD003,EA,32000,600
FG-004,퍼스트 토너 150ml,완제품,PRD004,EA,25000,700
FG-005,앰플 에센스 30ml,완제품,PRD005,EA,45000,400
FG-006,레티놀 리뉴얼 세럼 30ml,완제품,PRD006,EA,55000,300
FG-007,벨벳 립틴트 4g,완제품,PRD008,EA,12000,1200
FG-008,퍼펙트 커버 쿠션 15g,완제품,PRD016,EA,28000,500
FG-009,선쿠션 SPF50+ 15g,완제품,PRD020,EA,24000,700
FG-010,볼루밍 마스카라 8ml,완제품,PRD012,EA,16000,650
RM-001,히알루론산 원료,원료,,KG,8500,45
RM-002,레티놀 원료 0.1%,원료,,KG,120000,8
RM-003,자외선 차단 필터(옥시벤존),원료,,KG,35000,30
PK-001,펌프 용기 50ml (스킨케어),용기,,EA,1200,2000
PK-002,쿠션 케이스 (베이스),용기,,EA,2500,800
