ROUTE_ID,ROUTE_NAME,ORIGIN_HUB_ID,DEST_HUB_ID,DISTANCE_KM,STANDARD_TIME_HOURS,ROUTE_TYPE,TOLL_KRW,VEHICLE_TYPE_REQUIRED,FREQUENCY,STATUS
RTE001,서울→부산 간선,HUB001,HUB002,430,5.5,간선,38500,11톤트럭,일 1회,ACTIVE
RTE002,서울→대구 간선,HUB001,HUB003,290,3.5,간선,26000,11톤트럭,일 1회,ACTIVE
RTE003,서울→광주 간선,HUB001,HUB004,350,4.5,간선,31500,11톤트럭,일 1회,ACTIVE
RTE004,서울→대전 간선,HUB001,HUB005,150,2.0,간선,12000,11톤트럭,일 2회,ACTIVE
RTE005,부산→창원 지선,HUB002,HUB002,55,1.0,지선,4500,5톤트럭,일 2회,ACTIVE
RTE006,대구→포항 지선,HUB003,HUB003,80,1.5,지선,6200,5톤트럭,일 1회,ACTIVE
RTE007,대전→천안 지선,HUB005,HUB005,70,1.2,지선,5500,5톤트럭,일 2회,ACTIVE
RTE008,광주→목포 지선,HUB004,HUB004,90,1.5,지선,7000,5톤트럭,주 3회,ACTIVE
RTE009,서울→인천 지선,HUB001,HUB006,40,0.8,지선,2500,5톤트럭,일 2회,ACTIVE
RTE010,서울→동부 지선,HUB001,HUB007,25,0.7,지선,1500,5톤트럭,일 2회,ACTIVE
RTE011,서울→경기남부 지선,HUB001,HUB008,60,1.0,지선,4800,5톤트럭,일 1회,ACTIVE
RTE012,서울 도심 라스트마일 A,HUB007,HUB007,15,1.5,라스트마일,0,1톤트럭,일 2회,ACTIVE
RTE013,서울 도심 라스트마일 B,HUB007,HUB007,12,1.2,라스트마일,0,오토바이,탄력운행,ACTIVE
RTE014,인천 도심 라스트마일,HUB006,HUB006,18,1.8,라스트마일,0,1톤트럭,일 2회,ACTIVE
RTE015,경기남부 라스트마일,HUB008,HUB008,20,2.0,라스트마일,0,1톤트럭,일 1회,ACTIVE
RTE016,부산항 국제선,HUB002,HUB006,480,6.0,국제,44000,11톤트럭,주 3회,ACTIVE
RTE017,인천공항 국제선,HUB006,HUB001,45,1.0,국제,3500,5톤트럭,일 1회,ACTIVE
RTE018,대구→경주 지선,HUB003,HUB003,65,1.2,지선,5000,5톤트럭,주 3회,SEASONAL
RTE019,서울 퀵 라스트마일 C,HUB007,HUB007,10,0.8,라스트마일,0,오토바이,탄력운행,ACTIVE
RTE020,서울 퀵 라스트마일 D,HUB006,HUB006,8,0.7,라스트마일,0,오토바이,탄력운행,SUSPENDED
