BRANCH_ID,BRANCH_NAME,BRANCH_TYPE,REGION,ADDRESS,MANAGER_NAME,OPEN_DATE,EMPLOYEE_COUNT,STATUS
BRN001,본점영업부,본점,서울,서울 중구 을지로 100,김태호,2000-01-03,120,OPERATING
BRN002,강남지점,지점,서울,서울 강남구 테헤란로 200,이수진,2003-05-12,45,OPERATING
BRN003,여의도지점,지점,서울,서울 영등포구 여의대로 50,박민준,2005-03-07,38,OPERATING
BRN004,마포지점,지점,서울,서울 마포구 공덕동 300,최지연,2008-09-01,28,OPERATING
BRN005,수원지점,지점,경기,경기 수원시 팔달구 매산로 15,정하늘,2010-04-05,32,OPERATING
BRN006,성남지점,지점,경기,경기 성남시 분당구 판교로 88,한승우,2012-07-02,25,OPERATING
BRN007,인천지점,지점,경기,인천 연수구 컨벤시아대로 204,오유리,2009-11-10,30,OPERATING
BRN008,부산지점,지점,부산,부산 해운대구 센텀중앙로 79,임태양,2006-02-14,35,OPERATING
BRN009,부산서면출장소,출장소,부산,부산 부산진구 서면로 12,송다영,2015-06-01,8,OPERATING
BRN010,대구지점,지점,대구,대구 수성구 범어대로 100,권민서,2011-10-03,22,OPERATING
BRN011,대구출장소,출장소,대구,대구 중구 동성로 45,유재원,2018-03-05,6,OPERATING
BRN012,디지털지점,디지털지점,서울,서울 강서구 마곡중앙로 161,,2021-01-11,15,OPERATING
BRN013,광주지점,지점,기타,광주 서구 상무대로 911,배소연,2014-08-04,20,OPERATING
BRN014,대전지점,지점,기타,대전 유성구 엑스포로 107,윤세준,2013-12-02,18,OPERATING
BRN015,제주출장소,출장소,기타,제주 제주시 중앙로 55,신나은,2019-05-20,5,RENOVATION
