OUTAGE_ID,PLANT_ID,REGION_ID,OUTAGE_DATE,START_TIME,END_TIME,DURATION_HOURS,OUTAGE_TYPE,AFFECTED_CUSTOMERS,ENERGY_NOT_SUPPLIED_MWH,CAUSE_DESCRIPTION,RESTORATION_METHOD,COST_KRW
1,PLT004,RGN002,2023-07-09,13:00,17:15,4.25,계획정전,27245,220.7,케이블 노후화로 인한 예방 교체,예비 변압기 절체,1881316718.0
2,PLT008,RGN006,2022-02-24,16:45,17:38,0.89,수요초과,44990,271.6,계통 주파수 저하로 인한 긴급 부하 차단,긴급 복구팀 투입 및 임시 설비 가동,1118330826.0
3,,RGN001,2023-02-16,17:45,19:09,1.41,수요초과,20251,294.9,예비력 부족으로 인한 부하 차단,긴급 복구팀 투입 및 임시 설비 가동,1229082971.0
4,,RGN004,2024-06-04,08:15,12:00,3.75,설비고장,6556,571.0,계기용 변성기 고장,복구반 현장 출동 후 설비 수리,
5,,RGN008,2022-03-07,09:30,13:33,4.05,계획정전,24873,1981.5,케이블 노후화로 인한 예방 교체,긴급 복구팀 투입 및 임시 설비 가동,330039243.0
6,PLT006,RGN003,2022-08-12,03:15,03:57,0.7,수요초과,7096,21.0,피크 시간대 수요 예측 초과,예비 변압기 절체,229490312.0
7,PLT007,RGN002,2024-12-15,21:30,00:41,3.19,계획정전,648,576.3,정기 설비 점검 및 보수 작업,복구반 현장 출동 후 설비 수리,500825392.0
8,PLT002,RGN006,2023-09-06,09:30,16:26,6.94,강제정전,20675,1436.4,변압기 과부하로 인한 트립,자동 재투입 장치 동작,
9,,RGN006,2024-12-03,05:30,13:22,7.87,계획정전,22948,1856.1,안전 점검 의무 이행,예비 변압기 절체,1678778673.0
10,PLT003,RGN006,2024-08-12,08:15,04:45,20.5,자연재해,42608,2903.6,태풍으로 인한 송전탑 도복,우회 송전 경로 전환,1155516766.0
11,PLT006,RGN003,2023-11-13,04:00,10:31,6.53,계획정전,9214,2363.5,안전 점검 의무 이행,자동 재투입 장치 동작,1689606332.0
12,PLT006,RGN004,2023-02-28,06:15,04:46,22.53,강제정전,40308,6277.5,차단기 오작동으로 인한 정전,이동형 발전기 투입,1215223351.0
13,PLT005,RGN003,2022-09-16,12:30,05:53,17.39,강제정전,3400,2496.6,연결 접속부 과열로 인한 단락,예비 변압기 절체,
14,PLT005,RGN004,2024-07-03,04:30,09:21,4.85,강제정전,27213,439.5,보호계전기 오동작,예비 변압기 절체,1064218148.0
15,PLT003,RGN006,2023-05-16,10:00,12:49,2.82,계획정전,25474,1333.1,변전소 변압기 교체 작업,예비 변압기 절체,562814755.0
16,,RGN004,2024-02-27,07:45,10:39,2.91,계획정전,11117,105.4,정기 설비 점검 및 보수 작업,예비 변압기 절체,1315120593.0
17,PLT004,RGN004,2023-04-11,05:00,10:55,5.93,설비고장,10114,2581.6,송전선 코로나 방전 이상,예비 변압기 절체,
18,,RGN001,2024-08-06,03:30,06:23,2.89,계획정전,47188,688.3,안전 점검 의무 이행,자동 재투입 장치 동작,1467142842.0
19,PLT011,RGN006,2022-09-26,15:45,21:18,5.56,계획정전,30634,2047.7,정기 설비 점검 및 보수 작업,복구반 현장 출동 후 설비 수리,
20,PLT002,RGN008,2022-06-05,02:15,08:37,6.38,계획정전,36620,328.5,정기 설비 점검 및 보수 작업,우회 송전 경로 전환,1295712616.0
21,PLT012,RGN002,2022-10-15,06:30,11:15,4.76,계획정전,42166,1681.1,송전선로 교체 공사,이동형 발전기 투입,1239126525.0
22,PLT001,RGN007,2022-08-31,08:00,05:15,21.26,자연재해,35882,1801.7,낙뢰로 인한 절연체 파손,긴급 복구팀 투입 및 임시 설비 가동,1913399971.0
23,PLT005,RGN003,2023-07-30,21:30,18:44,21.24,자연재해,36151,4768.7,태풍으로 인한 송전탑 도복,이동형 발전기 투입,780458109.0
24,,RGN002,2022-04-04,23:15,04:46,5.52,계획정전,31479,594.8,케이블 노후화로 인한 예방 교체,복구반 현장 출동 후 설비 수리,1259307542.0
25,PLT003,RGN003,2024-05-26,11:15,15:11,27.94,설비고장,4632,5957.9,개폐기 접촉 불량,예비 변압기 절체,568808789.0
26,PLT001,RGN004,2023-07-04,12:45,15:13,2.47,계획정전,19388,144.2,케이블 노후화로 인한 예방 교체,복구반 현장 출동 후 설비 수리,
27,,RGN009,2024-07-03,05:15,00:45,43.5,설비고장,11763,12672.0,개폐기 접촉 불량,우회 송전 경로 전환,
28,PLT003,RGN009,2024-08-02,17:45,03:19,9.57,강제정전,30111,3272.8,보호계전기 오동작,이동형 발전기 투입,344683898.0
29,,RGN004,2024-10-10,21:30,21:12,47.7,설비고장,23931,10905.8,케이블 접속 불량으로 인한 과열,긴급 복구팀 투입 및 임시 설비 가동,53822187.0
30,,RGN009,2022-03-01,20:45,10:19,13.57,강제정전,27390,592.0,보호계전기 오동작,예비 변압기 절체,108436253.0
31,PLT002,RGN008,2023-01-19,08:45,11:57,3.2,계획정전,19918,1550.9,송전선로 교체 공사,예비 변압기 절체,700996677.0
32,PLT012,RGN004,2023-07-17,20:00,00:51,4.86,계획정전,19991,202.7,송전선로 교체 공사,예비 변압기 절체,
