METER_ID,METER_NAME,METER_TYPE,REGION_ID,CUSTOMER_TYPE,CONTRACT_CAPACITY_KW,VOLTAGE_LEVEL,INSTALL_DATE,STATUS
MTR001,서울강남산업단지,산업용,RGN001,제조업,50000,154kV,2010-01-15,ACTIVE
MTR002,인천항만물류센터,산업용,RGN001,제조업,30000,22.9kV,2012-06-20,ACTIVE
MTR003,수원전자공단,산업용,RGN001,제조업,80000,154kV,2008-03-10,ACTIVE
MTR004,강원관광단지,상업용,RGN002,서비스업,5000,22.9kV,2015-07-01,ACTIVE
MTR005,청주오창산업단지,산업용,RGN003,제조업,60000,154kV,2011-09-15,ACTIVE
MTR006,대전엑스포단지,상업용,RGN003,서비스업,8000,22.9kV,2013-04-22,ACTIVE
MTR007,광주첨단산단,산업용,RGN004,제조업,45000,154kV,2009-11-30,ACTIVE
MTR008,전주혁신도시,상업용,RGN004,공공기관,3000,22.9kV,2017-02-14,ACTIVE
MTR009,포항철강단지,산업용,RGN005,제조업,100000,154kV,2000-05-20,ACTIVE
MTR010,경주관광지구,상업용,RGN005,서비스업,2000,22.9kV,2014-08-11,ACTIVE
MTR011,창원기계산업단지,산업용,RGN006,제조업,70000,154kV,2005-12-01,ACTIVE
MTR012,진주혁신도시,상업용,RGN006,공공기관,4000,22.9kV,2016-03-25,ACTIVE
MTR013,부산항국제터미널,산업용,RGN007,제조업,35000,154kV,2007-10-18,ACTIVE
MTR014,해운대관광특구,상업용,RGN007,서비스업,6000,22.9kV,2012-05-30,ACTIVE
MTR015,제주첨단과학단지,상업용,RGN008,서비스업,1500,22.9kV,2018-09-05,ACTIVE
MTR016,제주주거단지A,주거용,RGN008,주거단지,500,380V,2019-01-20,ACTIVE
MTR017,울산석유화학단지,산업용,RGN009,제조업,120000,154kV,1998-07-12,ACTIVE
MTR018,울산주거단지B,주거용,RGN009,주거단지,800,220V,2015-11-10,ACTIVE
MTR019,수도권변전소A,변전소,RGN001,공공기관,200000,154kV,2003-04-15,ACTIVE
MTR020,경기주거단지C,주거용,RGN001,주거단지,1200,220V,2016-08-22,FAULTY
