PLANT_ID,PLANT_NAME,PLANT_TYPE,REGION_ID,CAPACITY_MW,COMMISSION_DATE,STATUS,FUEL_TYPE,OPERATOR_NAME,CO2_EMISSION_FACTOR
PLT001,서울화력,화력,RGN001,800,1990-03-15,OPERATING,LNG,한국전력 수도권본부,490
PLT002,영동원자력,원자력,RGN002,1400,1998-07-20,OPERATING,우라늄,한국수력원자력,11
PLT003,부산복합화력,복합화력,RGN007,600,2005-11-01,OPERATING,LNG,한국중부발전,370
PLT004,전남태양광단지,태양광,RGN004,200,2018-04-10,OPERATING,태양열,한국남부발전,
PLT005,제주풍력,풍력,RGN008,100,2016-09-05,OPERATING,바람,제주에너지공사,
PLT006,충청화력,화력,RGN003,1000,1985-06-30,OPERATING,석탄,한국동서발전,820
PLT007,경북원자력,원자력,RGN005,1400,2002-12-15,OPERATING,우라늄,한국수력원자력,11
PLT008,인천복합화력,복합화력,RGN001,900,2010-08-22,OPERATING,LNG,한국서부발전,370
PLT009,경기태양광,태양광,RGN001,150,2020-05-18,OPERATING,태양열,한국남동발전,
PLT010,강원수력,수력,RGN002,300,1975-03-01,OPERATING,수력,한국수력원자력,
PLT011,전북풍력,풍력,RGN004,180,2019-11-28,MAINTENANCE,바람,한국남부발전,
PLT012,울산화력,화력,RGN009,750,1995-04-20,OPERATING,LNG,한국동서발전,490
