PROMOTION_ID,PROMOTION_NAME,PROMOTION_TYPE,CHANNEL_ID,START_DATE,END_DATE,DISCOUNT_RATE,TARGET_CATEGORY,BUDGET_KRW
PRM001,올영세일 2025 봄,정기세일,CH001,2025-03-01,2025-03-10,0.2,전체,80000000
PRM002,자사몰 봄맞이 기획전,자사몰기획전,CH002,2025-04-05,2025-04-20,0.15,스킨케어,25000000
PRM003,여름 선케어 프로모션,시즌프로모션,CH001,2025-05-20,2025-06-15,0.25,스킨케어,60000000
PRM004,쿠팡 메가뷰티세일,플랫폼세일,CH003,2025-06-01,2025-06-07,0.3,전체,45000000
PRM005,올영세일 2025 여름,정기세일,CH001,2025-08-01,2025-08-10,0.2,전체,85000000
PRM006,무신사 뷰티 페스타,플랫폼세일,CH004,2025-09-10,2025-09-20,0.18,립,20000000
PRM007,추석 선물세트 기획전,명절프로모션,CH002,2025-09-25,2025-10-05,0.12,베이스,30000000
PRM008,겨울 보습 캠페인,시즌프로모션,CH002,2025-11-01,2025-11-30,0.2,스킨케어,40000000
PRM009,블랙프라이데이 2025,블랙프라이데이,CH003,2025-11-25,2025-11-30,0.35,전체,120000000
PRM010,연말 홀리데이 에디션,명절프로모션,CH001,2025-12-10,2025-12-25,0.15,립,55000000
PRM011,신년 뷰티 스타트,정기세일,CH002,2026-01-05,2026-01-20,0.18,전체,30000000
PRM012,올영세일 2026 봄,정기세일,CH001,2026-03-01,2026-03-10,0.2,전체,90000000
PRM013,면세점 봄 시즌 특가,면세프로모션,CH005,2026-04-01,2026-04-30,0.22,베이스,35000000
PRM014,쿠팡 메가뷰티세일 2026,플랫폼세일,CH003,2026-06-01,2026-06-07,0.3,전체,50000000
