PRODUCT_ID,PRODUCT_NAME,PRODUCT_TYPE,CATEGORY,LINE_ID,CYCLE_TIME_SECONDS,STANDARD_COST_KRW,DEMAND_TYPE,TARGET_DAILY_OUTPUT,DEFECT_THRESHOLD_PCT,LAUNCH_DATE,STATUS
PRD001,엔진블록_V6,완성품,엔진부품,LINE-01,90,450000,MASS_PRODUCTION,320,1.0,2020-01-01,ACTIVE
PRD002,크랭크샤프트,반제품,엔진부품,LINE-01,120,280000,MASS_PRODUCTION,240,1.5,2020-01-01,ACTIVE
PRD003,실린더헤드,반제품,엔진부품,LINE-01,80,190000,MASS_PRODUCTION,360,1.2,2021-03-01,ACTIVE
PRD004,도어패널_좌,반제품,차체부품,LINE-02,30,85000,MASS_PRODUCTION,800,0.8,2019-06-01,ACTIVE
PRD005,도어패널_우,반제품,차체부품,LINE-02,30,85000,MASS_PRODUCTION,800,0.8,2019-06-01,ACTIVE
PRD006,후드패널,반제품,차체부품,LINE-02,45,120000,MASS_PRODUCTION,600,1.0,2019-06-01,ACTIVE
PRD007,머플러_조립체,완성품,엔진부품,LINE-03,60,95000,MASS_PRODUCTION,480,1.5,2020-09-01,ACTIVE
PRD008,차체프레임_용접,반제품,차체부품,LINE-03,180,320000,SMALL_BATCH,160,2.0,2021-01-01,ACTIVE
PRD009,연료탱크,완성품,안전부품,LINE-03,90,145000,MASS_PRODUCTION,320,0.5,2020-01-01,ACTIVE
PRD010,범퍼빔,부품,차체부품,LINE-03,40,62000,MASS_PRODUCTION,720,1.0,2022-04-01,ACTIVE
PRD011,외장패널_도장,반제품,차체부품,LINE-04,300,75000,MASS_PRODUCTION,96,1.5,2019-01-01,ACTIVE
PRD012,플라스틱커버_도장,부품,인테리어,LINE-04,240,42000,SMALL_BATCH,120,2.0,2020-06-01,ACTIVE
PRD013,대시보드_조립,완성품,인테리어,LINE-05,600,380000,MASS_PRODUCTION,72,1.0,2021-05-01,ACTIVE
PRD014,시트프레임,반제품,인테리어,LINE-05,480,210000,MASS_PRODUCTION,90,1.5,2021-05-01,ACTIVE
PRD015,에어백모듈,완성품,안전부품,LINE-05,360,520000,MASS_PRODUCTION,120,0.5,2022-01-01,ACTIVE
PRD016,ABS브레이크모듈,완성품,안전부품,LINE-05,420,680000,SMALL_BATCH,60,0.5,2022-07-01,ACTIVE
PRD017,ECU_전장모듈,완성품,전장부품,LINE-06,180,950000,CUSTOM,40,0.5,2023-01-01,ACTIVE
PRD018,와이어링하네스,부품,전장부품,LINE-06,120,145000,MASS_PRODUCTION,200,1.0,2020-03-01,ACTIVE
PRD019,레거시엔진_구형,완성품,엔진부품,LINE-01,110,380000,DISCONTINUE,80,3.0,2017-01-01,EOL
PRD020,구형도어패널,반제품,차체부품,LINE-02,35,72000,DISCONTINUE,100,2.5,2016-01-01,EOL
