PRODUCT_ID,PRODUCT_NAME,PRODUCT_TYPE,CATEGORY,INTEREST_RATE_PCT,MIN_AMOUNT_KRW,MAX_AMOUNT_KRW,TERM_MONTHS,RISK_GRADE,STATUS,LAUNCH_DATE,REGULATOR
PRD001,정기예금(1년),예금,개인,3.5,1000000,500000000,12,1,ACTIVE,2010-03-01,금감원
PRD002,정기예금(2년),예금,개인,4.0,1000000,500000000,24,1,ACTIVE,2010-03-01,금감원
PRD003,자유적금,적금,개인,4.2,100000,10000000,36,1,ACTIVE,2012-05-01,금감원
PRD004,주택담보대출,대출,개인,5.5,30000000,,120,2,ACTIVE,2008-01-01,금감원
PRD005,신용대출,대출,개인,10.5,1000000,100000000,60,3,ACTIVE,2009-06-01,금감원
PRD006,기업운전자금대출,대출,기업,6.75,50000000,,12,3,ACTIVE,2007-01-01,금감원
PRD007,국내주식형펀드,펀드,자산관리,,1000000,,,4,ACTIVE,2015-04-01,금융위
PRD008,채권형펀드,펀드,자산관리,,1000000,,,2,ACTIVE,2014-09-01,금융위
PRD009,달러MMF,펀드,자산관리,,500000,,,1,ACTIVE,2016-02-01,금융위
PRD010,변액보험(투자형),보험,자산관리,,50000,,120,4,ACTIVE,2013-07-01,금융위
PRD011,실손보험,보험,개인,,30000,,12,1,ACTIVE,2011-01-01,금융위
PRD012,비자카드(일반),카드,개인,,,,,2,ACTIVE,2010-11-01,금융위
PRD013,프리미엄카드(연회비10만),카드,개인,,,,,2,ACTIVE,2017-05-01,금융위
PRD014,기업카드,카드,기업,,,,,2,ACTIVE,2009-03-01,금융위
PRD015,ELS(원금부분보장형),파생상품,리스크헤지,,10000000,,36,4,ACTIVE,2018-01-01,금융위
PRD016,ELF(원금비보장형),파생상품,리스크헤지,,10000000,,36,5,ACTIVE,2018-06-01,금융위
PRD017,DLS(원자재연계),파생상품,리스크헤지,,10000000,,24,5,ACTIVE,2019-03-01,금융위
PRD018,주가지수선물,파생상품,리스크헤지,,5000000,,3,5,ACTIVE,2020-01-01,한은
PRD019,금리옵션,파생상품,리스크헤지,,5000000,,6,5,ACTIVE,2020-06-01,한은
PRD020,이자율스왑(IRS),파생상품,기업,,100000000,,60,4,ACTIVE,2016-09-01,한은
PRD021,기업정기예금,예금,기업,3.8,10000000,,12,1,ACTIVE,2008-01-01,금감원
PRD022,청년우대적금,적금,개인,5.0,100000,3000000,24,1,ACTIVE,2022-01-01,금감원
PRD023,소호사업자대출,대출,기업,8.0,5000000,200000000,36,3,ACTIVE,2019-07-01,금감원
PRD024,외화정기예금(USD),예금,개인,2.5,1000000,,12,2,ACTIVE,2013-04-01,금감원
PRD025,주가연계펀드(구조화),펀드,자산관리,,5000000,,36,4,DISCONTINUED,2021-12-01,금융위
